nombre_de_la_estaci_n,Unnamed: 0,latitud,longitud,c_digo_del_departamento,c_digo_del_municipio,tiempo_de_exposici_n,concentraci_n
Base Aérea,58613.556777043406,3.4571279999982765,-76.50230300003165,76.0,76001.0,1.278820286293135,19.79223998075203
Compartir,75079.34563627059,3.4283889999974653,-76.46670000003115,76.0,76001.0,1.252732034801457,14.592623124959765
Jamundí,1779.0,3.257066999999979,-76.54425000000352,76.0,76364.0,1.0,25.459173645125112
Palmira-La Dolores,3604.5,3.498167000000002,-76.48316700000011,76.0,76520.0,24.0,20.122282608695645
Transitoria-Navarro,67785.0,3.4172029999999824,-76.4947360000002,76.0,76001.0,24.0,19.778373205741627
Universidad del Valle,95880.72489462768,3.3779110000004886,-76.53381100004238,76.0,76001.0,1.187217055819451,18.429232159020376
Yumbo - ACOPI,44013.377791231884,3.496249999997718,-76.50697200000279,76.0,76892.0,1.4111969799494284,25.824839977940158
