fecha,departamento,municipio,evento,codificacionsegundivipola,muertos,heridos,desapa,personas,familias,viviendasdestru,viviendasaver,vias,ptesvehic,ptepeat,acued,alcant,csalud,ceducat,ccomunit,hectareas,otros,subsidiodearriendo,fechatramiteadtivo,menajes,apaliment,materialesconst,sacos,otros1,transeconomicas,recejecutados
10/23/2005 12:00:00 AM,NORTE DE SANTANDER,EL CARMEN,INUNDACION,54245,,,,925,185,10,,5,,,,,,,,,,,,0,0,0,0,,,0
05/11/2013 12:00:00 AM,SANTANDER,CHARALA,ACCIDENTE,,1,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
09/27/2010 12:00:00 AM,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,63001,,,,5,1,1,,,,,,,,,,,,,,0,0,0,0,,0,0
01/01/2013 12:00:00 AM,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,76001,,,,,,,,,,,,,,,,2,,0,,0,0,0,0,,0,0
04/22/2011 12:00:00 AM,NORTE DE SANTANDER,PAMPLONA,INUNDACION,54518,,,,"1,200",240,,240,,,,,,,,,,,,,"297,169,000","22,950,000","217,075,500",0,"721,350,000",0,"1,258,544,500"
02/11/2013 12:00:00 AM,CASANARE,PAZ DE ARIPORO,INCENDIO FORESTAL,85250,,,,,,,,,,,,,,,,100,,0,,0,0,0,0,,0,0
11/02/2011 12:00:00 AM,ANTIOQUIA,ANDES,INUNDACION,05034,,,,,,,,,,,,,,,,,,,,0,0,0,0,,"20,000,000","20,000,000"
10/18/2011 12:00:00 AM,RISARALDA,PEREIRA,INUNDACION,66001,,,,295,59,,59,,,,,,,,,,,,,0,0,0,0,,0,0
09/20/2013 12:00:00 AM,SANTANDER,SABANA DE TORRES,VENDAVAL,68655,,,,200,40,,40,,,,,,,,,,,0,,0,0,0,0,,0,0
02/16/2013 12:00:00 AM,CASANARE,HATO COROZAL,INCENDIO FORESTAL,85125,,,,,,,,,,,,,,,,25,,0,,0,0,0,0,,0,0
05/17/2009 12:00:00 AM,SANTANDER,CHIMA,DESLIZAMIENTO,68176,,,,5,1,,1,,,,,,,,,,,,,0,0,0,0,,,0
09/20/2012 12:00:00 AM,CAUCA,MORALES,INCENDIO FORESTAL,19473,,,,664,251,,,,,,,,,,,963,,,,"66,418,966.8","21,781,250",0,0,"3,713,439.56",0,"91,913,656.36"
05/07/2007 12:00:00 AM,ARAUCA,DEPARTAMENTO,INUNDACION,,,,,,,,,,,,,,,,,,,,39210,0,0,0,"11,500,000",,,"11,500,000"
06/12/2012 12:00:00 AM,ANTIOQUIA,LIBORINA,INUNDACION,05411,,,,,,,,,,,,,,,,,,,,0,0,0,0,,"30,000,000","30,000,000"
04/01/2013 12:00:00 AM,TOLIMA,LIBANO,INCENDIO ESTRUCTURAL,,,,,5,1,1,,,,,,,,,,,,0,,0,0,0,0,,0,0
05/06/1999 12:00:00 AM,CESAR,LA GLORIA,INUNDACION,20383,,,,"3,120",520,,180,,,,,,,,,,PERDIDA DE CULTIVOS. EL COLEGIO Y EL HOSPITAL SE ENCUENTRAN EN RIOESGO,,36300,"72,707,299.6","10,481,224",,,,"5,000,000","88,188,523.6"
07/04/2013 12:00:00 AM,PUTUMAYO,VILLAGARZON,INUNDACION,,,,,50,10,,10,,,,,,,,,,,0,,0,0,0,0,,0,0
12/26/2012 12:00:00 AM,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,68001,,,,5,1,,1,,,,,,,,,,,,,0,0,0,0,,0,0
11/20/2008 12:00:00 AM,TOLIMA,AMBALEMA,INUNDACION,73030,,,,468,117,,25,,,,,,,,,271,,,,0,0,0,0,,,0
06/04/2013 12:00:00 AM,ANTIOQUIA,SANTA ROSA DE OSOS,INCENDIO FORESTAL,05686,,,,,,,,,,,,,,,,1,,0,,0,0,0,0,,0,0
07/27/2012 12:00:00 AM,HUILA,PALERMO,INCENDIO FORESTAL,41524,,,,,,,,,,,,,,,,0.5,,,,0,0,0,0,,0,0
06/30/2011 12:00:00 AM,CUNDINAMARCA,TOCAIMA,VENDAVAL,25815,,,,297,99,,,,,,,,,,,188.5,,,,0,0,0,0,,0,0
05/08/2013 12:00:00 AM,CESAR,BOSCONIA,INCENDIO ESTRUCTURAL,20060,,,,5,1,1,,,,,,,,,,,,0,,0,0,0,0,,0,0
08/01/2008 12:00:00 AM,MAGDALENA,PLATO,INUNDACION,47555,,,,"2,530",506,,,,,,,,,,,,,,39681,"63,503,000","25,047,000",0,0,,,"88,550,000"
02/20/2012 12:00:00 AM,TOLIMA,SAN LUIS,INUNDACION,73678,,,,,,,,,,,,,,,,,,,,"36,322,778.4","8,670,000",0,0,,0,"44,992,778.4"
06/07/2013 12:00:00 AM,ANTIOQUIA,TARAZA,ACCIDENTE,,1,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
05/25/2013 12:00:00 AM,ANTIOQUIA,CONCORDIA,DESLIZAMIENTO,05209,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
01/11/2002 12:00:00 AM,CASANARE,YOPAL,INCENDIO FORESTAL,85001,,,,,,,,,,,,,,,,7,,,,0,0,0,0,,,0
08/17/2007 12:00:00 AM,CUNDINAMARCA,GUAYABETAL,CONTAMINACION,25335,,,,35,9,,,,,,,,,,,,,,,0,0,0,0,,,0
02/10/2011 12:00:00 AM,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,63001,,,,1,1,1,,,,,,,,,,,,,,0,0,0,0,,0,0
05/05/2011 12:00:00 AM,NORTE DE SANTANDER,LA ESPERANZA,INUNDACION,54385,,,,"2,500",500,,500,,,,,,,,,,,,,0,0,"77,978,680",0,"20,996,000",0,"98,974,680"
05/25/2003 12:00:00 AM,TOLIMA,CAJAMARCA,DESLIZAMIENTO,73124,,,,200,33,7,20,,,,,,,,,,,,,0,0,0,0,,,0
03/19/1999 12:00:00 AM,TOLIMA,NATAGAIMA,INUNDACION,73483,,,,"2,058",343,,300,,,,,,,,,,,,36319,,"6,860,000",,,,,"6,860,000"
06/27/2006 12:00:00 AM,SUCRE,SINCELEJO,VENDAVAL,70001,,,,460,92,,92,,,,,,,,,,,,,0,0,0,0,,,0
08/23/2009 12:00:00 AM,CESAR,SAN ALBERTO,VENDAVAL,20710,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0
08/07/2013 12:00:00 AM,HUILA,CAMPOALEGRE,INCENDIO FORESTAL,41132,,,,,,,,,,,,,,,,1,,0,,0,0,0,0,,0,0
02/19/2013 12:00:00 AM,ATLANTICO,BARRANQUILLA,VENDAVAL,,,5,,,,,,,,,,,,1,,,,0,,0,0,0,0,,0,0
02/23/1999 12:00:00 AM,VALLE DEL CAUCA,VIJES,INUNDACION,76869,,,,175,35,,,,,,,,,,,,,,,,,,,,,0
02/10/2012 12:00:00 AM,CUNDINAMARCA,SOACHA,DESLIZAMIENTO,25754,,,,265,53,4,49,1,,,,,,,,,,,,0,"5,100,000",0,0,"22,000,000",0,"27,100,000"
03/26/2011 12:00:00 AM,VALLE DEL CAUCA,DAGUA,VENDAVAL,76233,,,,65,13,,13,,,,,,,,,,,,,0,0,0,0,,0,0
01/14/2013 12:00:00 AM,VALLE DEL CAUCA,YUMBO,INCENDIO FORESTAL,76892,,,,,,,,,,,,,,,,135,,0,,0,0,0,0,,0,0
04/17/2011 12:00:00 AM,CUNDINAMARCA,LENGUAZAQUE,INUNDACION,25407,,,,8,2,,2,,,,,,,,,,,,,0,0,0,0,,0,0
01/13/2013 12:00:00 AM,BOYACA,MONGUI,INCENDIO FORESTAL,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
01/22/2013 12:00:00 AM,CUNDINAMARCA,GUASCA,INCENDIO FORESTAL,25322,,,,,,,,,,,,,,,,1,,0,,0,0,0,0,,0,0
09/09/2012 12:00:00 AM,CAUCA,EL TAMBO,INCENDIO FORESTAL,19256,,,,,,,,,,,,,,,,10,,,,0,0,0,0,,0,0
06/12/2012 12:00:00 AM,CAUCA,CALDONO,INUNDACION,19137,,,,,,,,,,,,,,,,,,,,0,0,0,0,,"40,000,000","40,000,000"
01/21/2013 12:00:00 AM,CUNDINAMARCA,TOCAIMA,INCENDIO FORESTAL,25815,,,,,,,,,,,,,,,,1,,0,,0,0,0,0,,0,0
08/06/2013 12:00:00 AM,BOYACA,SAN MIGUEL DE SEMA,INCENDIO FORESTAL,,,,,,,,,,,,,,,,,3,,0,,0,0,0,0,,0,0
03/11/2008 12:00:00 AM,VALLE DEL CAUCA,BUENAVENTURA,DESLIZAMIENTO,76109,,,,,,,,,,,,,,,,,,,39581,0,"8,316,000",0,0,,,"8,316,000"
08/27/1999 12:00:00 AM,CESAR,VALLEDUPAR,INUNDACION,20001,,,,24,24,,,,,,,,,,,,PERDIDA DE HORNOS DE LADRILLO Y HERRAMIENTA.,,,,,,,,,0
06/04/2013 12:00:00 AM,GUAINIA,INIRIDA,INUNDACION,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
11/11/2010 12:00:00 AM,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,76109,,,,"1,619",285,,285,,,,,,,,,,,,,0,0,0,0,,0,0
06/22/2011 12:00:00 AM,CASANARE,AGUAZUL,INUNDACION,85010,,,,250,50,,50,,,,,,,,,,,,,0,0,0,0,,0,0
05/18/2013 12:00:00 AM,BOGOTA. D.C.,BOGOTA. D.C.,COLAPSO,,,1,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
04/11/2011 12:00:00 AM,CAUCA,PADILLA,INUNDACION,19513,,,,"1,224",206,13,,193,,,,,,,,,,,,0,0,0,0,,0,0
10/08/2011 12:00:00 AM,CALDAS,NEIRA,VENDAVAL,17486,,,,100,20,,20,,,,,,,,,,,,,0,0,0,0,,0,0
12/20/2011 12:00:00 AM,HUILA,PITAL,DESLIZAMIENTO,41548,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
01/17/2013 12:00:00 AM,CASANARE,NUNCHIA,INCENDIO FORESTAL,,,,,,,,,,,,,,,,,10,,0,,0,0,0,0,,0,0
09/22/1999 12:00:00 AM,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,68001,2,4,,,,,,,,,,,,,,,,,,,,,,,,0
05/03/2012 12:00:00 AM,VALLE DEL CAUCA,LA CUMBRE,INUNDACION,76377,,,,255,51,1,50,,,,,,,,,,,,,0,0,0,0,,0,0
04/07/1999 12:00:00 AM,NORTE DE SANTANDER,VILLA DEL ROSARIO,INUNDACION,54874,,,,114,26,,26,,,,1,,,,,,,,,,,,,,,0
07/29/2013 12:00:00 AM,CORDOBA,MONTELIBANO,INUNDACION,,,,,,,,,,,,,,,,,20,,0,,0,0,0,0,,0,0
10/19/2011 12:00:00 AM,SANTANDER,LEBRIJA,INUNDACION,68406,,,,,,,,1,,,,,,,,,,,,0,0,0,0,,0,0
