,fecha,autoridad_ambiental,nombre_de_la_estaci_n,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,geocoded_column,concentraci_n
28,16/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",18
29,15/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
30,14/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",18
31,13/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
32,12/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
33,11/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
34,10/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
35,09/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
36,08/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
37,07/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",15
38,06/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
39,05/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
40,04/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
41,03/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
42,02/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",5
43,01/11/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
44,31/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
45,30/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
46,29/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
47,28/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
48,27/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
49,26/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
50,25/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
51,24/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
52,23/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
53,22/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
54,21/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
55,20/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
56,19/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
57,18/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
58,17/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
