nombre_del_municipio,Agno,concentraci_n
CALI,2013,14.787545824489
CALI,2014,16.97708064035001
CALI,2015,18.049539997106905
CALI,2016,17.12954077945183
CALI,2017,18.03012815191449
CALI,2018,19.38489145094626
JAMUNDÍ,2017,25.459173645125112
PALMIRA,2017,20.122282608695645
YUMBO,2011,28.740384615384617
YUMBO,2012,24.308705882352932
YUMBO,2013,24.945026568265703
YUMBO,2014,25.656189933213955
YUMBO,2015,23.981764550376592
YUMBO,2016,27.136390332809874
YUMBO,2017,30.02487839539605
YUMBO,2018,23.24284154581106
