,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
22,05/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,13.9,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
23,06/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,16.4,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
24,07/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,21.2,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
25,08/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,16.9,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
26,09/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,16.9,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
27,10/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,9.7,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
28,11/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,12.8,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
29,12/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,14.1,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
30,13/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,10.2,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
31,14/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11.3,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
32,15/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,8.7,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
33,16/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11.6,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
34,17/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,9.7,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
35,18/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,12.6,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
36,21/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,6.8,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
37,22/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,12,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
38,23/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,10.7,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
39,24/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11.6,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
40,25/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,16.1,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
41,26/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,18.4,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
42,27/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,19.8,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
43,28/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,14.2,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
44,29/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,18.7,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
45,30/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,20.2,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
46,31/10/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,16.6,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
47,01/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,15.3,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
48,02/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,14.3,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
49,03/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11.5,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
50,04/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,14.9,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
51,05/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,13.4,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
52,06/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,15.5,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
53,07/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,15.8,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
54,11/11/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,15.1,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
