,nombre_de_la_estaci_n,nombre_del_municipio,Unnamed: 0,latitud,longitud,c_digo_del_departamento,c_digo_del_municipio,tiempo_de_exposici_n,concentraci_n
0,Pereira-CARDER,PEREIRA,740.4158940397351,4.8072080000000526,-75.71925000000036,66.0,66001.0,24.0,12.02086956521739
1,Pereira-Centro Tradicional,PEREIRA,419.4853556485356,4.818333000000002,-75.69888899999953,66.0,66001.0,24.0,19.45483333333334
0,Acualago,FLORIDABLANCA,4661.0,7.0719400000011765,-73.10138799999528,68.0,68276.0,1.92,11.410604118993131
1,Caldas,BUCARAMANGA,13786.0,7.099999999998977,-73.10332999999746,68.0,68001.0,1.92,11.206226579520708
2,Centro,BUCARAMANGA,49.0,7.119263000000007,-73.12705499999994,68.0,68001.0,24.0,22.1320202020202
3,Giron,GIRON,22911.0,7.060830000000755,-73.171939999995,68.0,68307.0,1.92,13.83654767087506
4,Normal,BUCARAMANGA,32036.0,7.126100000000943,-73.11999999999591,68.0,68001.0,1.92,12.076547670875046
5,Pilar,BUCARAMANGA,41161.0,7.107219999999435,-73.1237999999887,68.0,68001.0,1.92,12.585006535947718
0,Base Aérea,CALI,58613.556777043406,3.4571279999982765,-76.50230300003165,76.0,76001.0,1.278820286293135,19.79223998075203
1,Compartir,CALI,75079.34563627059,3.4283889999974653,-76.46670000003115,76.0,76001.0,1.252732034801457,14.592623124959765
2,Jamundí,JAMUNDÍ,1779.0,3.257066999999979,-76.54425000000352,76.0,76364.0,1.0,25.459173645125112
3,Palmira-La Dolores,PALMIRA,3604.5,3.498167000000002,-76.48316700000011,76.0,76520.0,24.0,20.122282608695645
4,Transitoria-Navarro,CALI,67785.0,3.4172029999999824,-76.4947360000002,76.0,76001.0,24.0,19.778373205741627
5,Universidad del Valle,CALI,95880.72489462768,3.3779110000004886,-76.53381100004238,76.0,76001.0,1.187217055819451,18.429232159020376
6,Yumbo - ACOPI,YUMBO,44013.377791231884,3.496249999997718,-76.50697200000279,76.0,76892.0,1.4111969799494284,25.824839977940158
