,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
24,05/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,38.79,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
25,08/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,44.27,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
26,11/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,40.82,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
27,14/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,69.31,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
28,17/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,54.4,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
29,20/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,17.58,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
30,23/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,27.7,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
31,26/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,25.88,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
32,29/01/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,17.83,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
33,04/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,23.71,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
