,fecha,autoridad_ambiental,nombre_de_la_estaci_n,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,geocoded_column,concentraci_n,tecnolog_a
26,05/12/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
27,04/12/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
28,03/12/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
29,02/12/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
30,01/12/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
31,30/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
32,29/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
33,28/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
34,27/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
35,26/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
36,25/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
37,24/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
38,23/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
39,22/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
40,21/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
41,20/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
42,19/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
43,18/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
44,17/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
45,16/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
46,15/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
47,14/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
48,13/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
49,12/11/2018 00:00,CRC,Campanario,2.438055,-76.61305,19,CAUCA,19001,POPAYÁN,Indicativa,24,PM2.5,ugm3,"{'latitude': '2.438055', 'longitude': '-76.61305'}",,
