,fecha,autoridad_ambiental,nombre_de_la_estaci_n,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,geocoded_column,concentraci_n,tecnolog_a
29,02/12/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",6,
30,01/12/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
31,30/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
32,29/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",9,
33,28/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
34,27/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
35,26/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",16,
36,25/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
37,24/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
38,23/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",16,
39,22/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
40,21/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
41,20/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",16,
42,19/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
43,18/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",,
44,17/11/2018 00:00,CORPOCALDAS,Licorera,5.068541,-75.517201,17,CALDAS,17001,MANIZALES,Fija,24,PM2.5,ugm3,"{'latitude': '5.068541', 'longitude': '-75.517201'}",15,
