,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
26,10/02/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,18.75,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
27,13/02/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,15.83,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
28,16/02/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,11.25,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
29,19/02/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,17.08,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
30,22/02/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,17.08,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
31,25/02/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,14.58,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
32,28/02/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,9.17,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
33,03/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,7.5,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
34,06/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,12.5,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
35,09/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
36,12/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,10.42,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
37,15/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,14.58,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
38,18/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,9.17,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
39,21/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,12.92,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
40,24/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5.83,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
41,27/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,8.33,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
42,30/03/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,6.67,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
43,05/04/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,6.25,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
44,08/04/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,7.5,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
45,11/04/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,14.58,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
46,14/04/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,8.75,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
47,17/04/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,6.25,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
48,20/04/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,14.17,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
